onset	duration	volume	type	value
142	n/a	72	Pulse	50
142.752	n/a	72.376	Picture	FIX 3617
144	n/a	73	Pulse	50
144.376	n/a	73.188	Sound	14 Start File 774.wav
144.454	n/a	73.227	Nothing	7 Audio onset
146	n/a	74	Pulse	50
148	n/a	75	Pulse	50
150	n/a	76	Pulse	50
150.394	n/a	76.197	Nothing	8 Target
152	n/a	77	Pulse	50
153.176	n/a	77.588	Nothing	15 End of file
153.202	n/a	77.601	Picture	blank
154	n/a	78	Pulse	50
155.218	n/a	78.609	Picture	FIX 4016
156	n/a	79	Pulse	50
157.244	n/a	79.622	Sound	14 Start File 710.wav
157.314	n/a	79.657	Nothing	7 Audio onset
158	n/a	80	Pulse	50
160	n/a	81	Pulse	50
161.338	n/a	81.669	Nothing	8 Target
162	n/a	82	Pulse	50
164	n/a	83	Pulse	50
164.728	n/a	83.364	Nothing	15 End of file
165.05	n/a	83.525	Picture	ZINNEN
166	n/a	84	Pulse	50
166.768	n/a	84.384	Picture	blank
168	n/a	85	Pulse	50
168.784	n/a	85.392	Picture	FIX 3891
170	n/a	86	Pulse	50
170.686	n/a	86.343	Sound	14 Start File 399.wav
170.738	n/a	86.369	Nothing	5 Audio onset
172	n/a	87	Pulse	50
174	n/a	88	Pulse	50
174.496	n/a	88.248	Nothing	6 Target
176	n/a	89	Pulse	50
176.052	n/a	89.026	Nothing	15 End of file
176.068	n/a	89.034	Picture	blank
178	n/a	90	Pulse	50
178.084	n/a	90.042	Picture	FIX 3515
179.598	n/a	90.799	Sound	14 Start File 186.wav
179.644	n/a	90.822	Nothing	1 Audio onset
180	n/a	91	Pulse	50
182	n/a	92	Pulse	50
182.476	n/a	92.238	Nothing	2 Target
183.564	n/a	92.782	Nothing	15 End of file
183.584	n/a	92.792	Picture	blank
184	n/a	93	Pulse	50
185.6	n/a	93.8	Picture	FIX 3573
186	n/a	94	Pulse	50
187.174	n/a	94.587	Sound	14 Start File 184.wav
187.232	n/a	94.616	Nothing	1 Audio onset
188	n/a	95	Pulse	50
188.8	n/a	95.4	Nothing	2 Target
190	n/a	96	Pulse	50
191.312	n/a	96.656	Nothing	15 End of file
191.332	n/a	96.666	Picture	blank
192	n/a	97	Pulse	50
193.35	n/a	97.675	Picture	FIX 4107
194	n/a	98	Pulse	50
195.456	n/a	98.728	Sound	14 Start File 190.wav
195.514	n/a	98.757	Nothing	1 Audio onset
196	n/a	99	Pulse	50
196.326	n/a	99.163	Nothing	2 Target
198	n/a	100	Pulse	50
199.692	n/a	100.846	Nothing	15 End of file
199.716	n/a	100.858	Picture	blank
200	n/a	101	Pulse	50
201.732	n/a	101.866	Picture	FIX 3207
202	n/a	102	Pulse	50
202.944	n/a	102.472	Sound	14 Start File 385.wav
203.002	n/a	102.501	Nothing	5 Audio onset
204	n/a	103	Pulse	50
205.094	n/a	103.547	Nothing	6 Target
206	n/a	104	Pulse	50
207.546	n/a	104.773	Nothing	15 End of file
207.866	n/a	104.933	Picture	WOORDEN
208	n/a	105	Pulse	50
209.582	n/a	105.791	Picture	blank
210	n/a	106	Pulse	50
211.598	n/a	106.799	Picture	FIX 3228
212	n/a	107	Pulse	50
212.846	n/a	107.423	Sound	14 Start File 672.wav
212.916	n/a	107.458	Nothing	3 Audio onset
214	n/a	108	Pulse	50
214.692	n/a	108.346	Nothing	4 Target
216	n/a	109	Pulse	50
218	n/a	110	Pulse	50
220	n/a	111	Pulse	50
220.39	n/a	111.195	Nothing	15 End of file
221.364	n/a	111.682	Picture	QUESTION 672
222	n/a	112	Pulse	50
223.936	n/a	112.968	Response	2
223.948	n/a	112.974	Picture	blank
224	n/a	113	Pulse	50
225.964	n/a	113.982	Picture	FIX 3297
226	n/a	114	Pulse	50
227.272	n/a	114.636	Sound	14 Start File 855.wav
227.35	n/a	114.675	Nothing	7 Audio onset
228	n/a	115	Pulse	50
230	n/a	116	Pulse	50
232	n/a	117	Pulse	50
233.11	n/a	117.555	Nothing	8 Target
234	n/a	118	Pulse	50
236	n/a	119	Pulse	50
236.236	n/a	119.118	Nothing	15 End of file
237.214	n/a	119.607	Picture	QUESTION 855
238	n/a	120	Pulse	50
238.742	n/a	120.371	Response	1
238.764	n/a	120.382	Picture	blank
240	n/a	121	Pulse	50
240.78	n/a	121.39	Picture	FIX 3533
242	n/a	122	Pulse	50
242.318	n/a	122.159	Sound	14 Start File 663.wav
242.406	n/a	122.203	Nothing	3 Audio onset
244	n/a	123	Pulse	50
245.698	n/a	123.849	Nothing	4 Target
246	n/a	124	Pulse	50
248	n/a	125	Pulse	50
248.366	n/a	125.183	Nothing	15 End of file
249.33	n/a	125.665	Picture	QUESTION 663
250	n/a	126	Pulse	50
250.226	n/a	126.113	Response	1
250.246	n/a	126.123	Picture	blank
