,Word,IPA,Syllables,Min_Freq_Count,Max_Freq_Count,Mean_Freq_Count,Bigrams,Bigram Occurrence Counts,Zipf,FREQcount,Lg10WF,n_syllables,Min_Syll_Zipf,First_syllable_zipf
38,behandelde,bəhˈɑndəldə,bəh - ɑn - dəl - də,863.0,1517022.0,435163.25,"['be', 'eh', 'ha', 'an', 'nd', 'de', 'el', 'ld', 'de']","[2443609.0, 134898.0, 1299761.0, 4143386.0, 2576478.0, 2559661.0, 4671207.0, 840998.0, 2559661.0]",3.76204250730071,254.0,2.404833716619938,4.0,5.51692145058926,6.969028573317883
39,uitslag,ˈœytslˌɑx,œyt - slɑx,5320.0,235788.0,120554.0,"['ui', 'it', 'ts', 'sl', 'la', 'ag']","[687028.0, 333345.0, 235160.0, 1064500.0, 2444604.0, 400262.0]",4.075661630272712,524.0,2.7193312869837265,2.0,5.296377468415255,6.570572327733233
40,maandag,mˈaːndɑx,maːn - dɑx,3941.0,40154.0,22047.5,"['ma', 'aa', 'an', 'nd', 'da', 'ag']","[957657.0, 2730922.0, 4143386.0, 2576478.0, 1096946.0, 400262.0]",4.487762016397799,1355.0,3.1319392952104246,2.0,5.3062573712877565,5.3062573712877565
41,medicus,mˈeːdikˌɵs,meː - di - kɵs,23.0,441857.0,176402.33333333334,"['me', 'ed', 'di', 'ic', 'cu', 'us']","[1659354.0, 636500.0, 1050254.0, 911860.0, 27593.0, 727825.0]",2.786866091025742,26.0,1.414973347970818,3.0,4.887512296962241,6.917583677224654
42,vreemde,vrˈeːmdə,vreːm - də,87.0,208410.0,104248.5,"['vr', 're', 'ee', 'em', 'md', 'de']","[62231.0, 1607974.0, 944702.0, 924741.0, 10432.0, 2559661.0]",4.789591965284645,2716.0,3.433929765608464,2.0,4.848107666309977,4.848107666309977
43,pokken,pˈɔkən,pɔ - kən,3052.0,374698.0,188875.0,"['po', 'ok', 'kk', 'ke', 'en']","[490468.0, 155024.0, 65091.0, 3143026.0, 8542439.0]",3.2188251869872104,72.0,1.8573324964312683,2.0,3.575236247583102,3.575236247583102
44,zelf,zˈɛlf,zɛlf,307.0,307.0,307.0,"['ze', 'el', 'lf']","[1671440.0, 4671207.0, 34029.0]",5.637239998573673,19130.0,4.281714970027296,1.0,6.0723085241580135,6.0723085241580135
45,laatst,lˈaːtst,laːtst,4412.0,4412.0,4412.0,"['la', 'aa', 'at', 'ts', 'st']","[2444604.0, 2730922.0, 996808.0, 235160.0, 2307098.0]",4.7780921667182366,2645.0,3.4224256763712044,1.0,4.653117209779452,4.653117209779452
46,gevreesde,ɣəvrˈeːzdə,ɣə - vreːz - də,275.0,805074.0,337919.6666666667,"['ge', 'ev', 'vr', 're', 'ee', 'es', 'sd', 'de']","[3692145.0, 317289.0, 62231.0, 1607974.0, 944702.0, 1784615.0, 52948.0, 2559661.0]",3.2745804192428283,82.0,1.9138138523837167,3.0,4.479055937040585,7.352677375311273
47,psychiater,psˈɪxiˌaːtər,psɪx - i - aː - tər,3728.0,3606231.0,1256018.75,"['ps', 'sy', 'yc', 'ch', 'hi', 'ia', 'at', 'te', 'er']","[133657.0, 156747.0, 108972.0, 1999086.0, 484018.0, 112581.0, 996808.0, 3522714.0, 6799370.0]",4.291513122581964,862.0,2.9355072658247128,4.0,4.824297434800969,4.824297434800969
48,verslaafde,vərslˈaːvdə,vər - slaːv - də,461.0,208410.0,90109.66666666669,"['ve', 'er', 'rs', 'sl', 'la', 'aa', 'af', 'fd', 'de']","[1767776.0, 6799370.0, 834594.0, 1064500.0, 2444604.0, 2730922.0, 472535.0, 81902.0, 2559661.0]",3.625015271084671,185.0,2.2671717284030137,3.0,4.362699899102763,7.111107990339974
49,zijn,zˈɛɪn,zɛɪn,351001.0,351001.0,351001.0,"['zi', 'ij', 'jn']","[123482.0, 1639122.0, 79695.0]",6.897639056623649,348446.0,5.5421354833834,1.0,6.7721914808192505,6.7721914808192505
50,ontslag,ɔntslˈɑx,ɔnt - slɑx,5320.0,170331.0,87825.5,"['on', 'nt', 'ts', 'sl', 'la', 'ag']","[2451854.0, 1477178.0, 235160.0, 1064500.0, 2444604.0, 400262.0]",4.476405144481282,1320.0,3.12057393120585,2.0,5.296377468415255,6.062767753056736
51,overtreder,ˌoːvərtrˈeːdər,oː - vər - treː - dər,15839.0,61458.0,37647.75,"['ov', 've', 'er', 'rt', 'tr', 're', 'ed', 'de', 'er']","[145547.0, 1767776.0, 6799370.0, 1154116.0, 1199332.0, 1607974.0, 636500.0, 2559661.0, 6799370.0]",2.6979250076889607,21.0,1.3222192947339193,4.0,5.011833834421596,6.695923768618035
