Word,Bigrams,First_Bigram_Count,Min_Bigram_Count,First_bigram_Zipf,Min_bigram_Zipf
moderne,"['mo', 'od', 'de', 'er', 'rn', 'ne']",1055897.0,193327.0,6.023621967272901,5.286294758140591
telefoon,"['te', 'el', 'le', 'ef', 'fo', 'oo', 'on']",3522714.0,116642.0,6.546877508655531,5.066858680955816
aanprees,"['aa', 'an', 'np', 'pr', 're', 'ee', 'es']",2730922.0,16967.0,6.436309455120861,4.2296306555085055
verdiende,"['ve', 'er', 'rd', 'di', 'ie', 'en', 'nd', 'de']",1767776.0,823655.0,6.247427479128562,5.915745866435793
orthopeed,"['or', 'rt', 'th', 'ho', 'op', 'pe', 'ee', 'ed']",2597583.0,446916.0,6.414569600559002,5.6502268748343845
blessure,"['bl', 'le', 'es', 'ss', 'su', 'ur', 're']",152155.0,38749.0,5.1822890826587855,4.588271706842329
behandelt,"['be', 'eh', 'ha', 'an', 'nd', 'de', 'el', 'lt']",2443609.0,134898.0,6.388031893729547,5.130008730279083
weinig,"['we', 'ei', 'in', 'ni', 'ig']",1965886.0,638298.0,6.293558550786624,5.805024164036852
benul,"['be', 'en', 'nu', 'ul']",2443609.0,53323.0,6.388031893729547,4.726922719751019
secretaresse,"['se', 'ec', 'cr', 're', 'et', 'ta', 'ar', 're', 'es', 'ss', 'se']",763112.0,70853.0,5.882588852034565,4.850364372987026
geeft,"['ge', 'ee', 'ef', 'ft']",3692145.0,169410.0,6.567278866173126,5.228941606019496
advocaat,"['ad', 'dv', 'vo', 'oc', 'ca', 'aa', 'at']",474501.0,10646.0,5.676238047294678,4.027227254067255
mannelijke,"['ma', 'an', 'nn', 'ne', 'el', 'li', 'ij', 'jk', 'ke']",957657.0,518095.0,5.981210440987696,5.714410239296128
beambte,"['be', 'ea', 'am', 'mb', 'bt', 'te']",2443609.0,930.0,6.388031893729547,2.9689496809813427
brief,"['br', 'ri', 'ie', 'ef']",191839.0,169410.0,5.282939165754773,5.228941606019496
wijze,"['wi', 'ij', 'jz', 'ze']",658045.0,176535.0,5.818256253565166,5.246833282002038
oude,"['ou', 'ud', 'de']",846499.0,671255.0,5.927626962444954,5.826888180652112
ieders,"['ie', 'ed', 'de', 'er', 'rs']",2076673.0,636500.0,6.317368325560973,5.803799090305684
dromen,"['dr', 'ro', 'om', 'me', 'en']",486140.0,486140.0,5.686762250004548,5.686762250004548
uitlegt,"['ui', 'it', 'tl', 'le', 'eg', 'gt']",687028.0,21874.0,5.836975069336347,4.339948061694351
komt,"['ko', 'om', 'mt']",466342.0,6305.0,5.66870546220922,3.799753966411886
aardige,"['aa', 'ar', 'rd', 'di', 'ig', 'ge']",2730922.0,823655.0,6.436309455120861,5.915745866435793
docent,"['do', 'oc', 'ce', 'en', 'nt']",394555.0,173200.0,5.596108652070105,5.238550395148003
onderwijst,"['on', 'nd', 'de', 'er', 'rw', 'wi', 'ij', 'js', 'st']",2451854.0,34493.0,6.389494782909221,4.537743559029619
groene,"['gr', 'ro', 'oe', 'en', 'ne']",789301.0,789301.0,5.897243203258759,5.897243203258759
zijden,"['zi', 'ij', 'jd', 'de', 'en']",123482.0,123482.0,5.091607172054137,5.091607172054137
pyjama,"['py', 'yj', 'ja', 'am', 'ma']",9224.0,10.0,3.964966374831098,1.041392685158225
kast,"['ka', 'as', 'st']",424843.0,424843.0,5.628229489164837,5.628229489164837
ligt,"['li', 'ig', 'gt']",3369152.0,21874.0,6.527520733613047,4.339948061694351
mag,"['ma', 'ag']",957657.0,400262.0,5.981210440987696,5.602345446116832
je,['je'],913788.0,913788.0,5.9608459258054225,5.9608459258054225
lenen,"['le', 'en', 'ne', 'en']",4397946.0,1475977.0,6.643249991339862,6.169079884214795
nichtje,"['ni', 'ic', 'ch', 'ht', 'tj', 'je']",638298.0,104770.0,5.805024164036852,5.020241089108949
jaloers,"['ja', 'al', 'lo', 'oe', 'er', 'rs']",1312625.0,834594.0,6.118141002347157,5.9214757785557595
dit,"['di', 'it']",1050254.0,333345.0,6.0212947577817895,5.522895248157097
mooie,"['mo', 'oo', 'oi', 'ie']",1055897.0,1055897.0,6.023621967272901,6.023621967272901
potlood,"['po', 'ot', 'tl', 'lo', 'oo', 'od']",490468.0,193327.0,5.6906115630831495,5.286294758140591
ook,"['oo', 'ok']",3901750.0,155024.0,6.591259550354114,5.190401740018988
alleen,"['al', 'll', 'le', 'ee', 'en']",2558689.0,944702.0,6.408017671801708,5.975295294504483
wilde,"['wi', 'il', 'ld', 'de']",658045.0,658045.0,5.818256253565166,5.818256253565166
honden,"['ho', 'on', 'nd', 'de', 'en']",1237078.0,1237078.0,6.092397434607738,6.092397434607738
mogen,"['mo', 'og', 'ge', 'en']",1055897.0,285914.0,6.023621967272901,5.4562369404099025
pitbulls,"['pi', 'it', 'tb', 'bu', 'ul', 'll', 'ls']",1566256.0,114609.0,6.194863024978794,5.05922251252969
echte,"['ec', 'ch', 'ht', 'te']",411920.0,373636.0,5.614813933135441,5.572449876391515
taaie,"['ta', 'aa', 'ai', 'ie']",892070.0,444826.0,5.950399421283193,5.6481911400738545
