Word,n_syllables,Log10_Syllable_FREQcounts,Syllable_Zipfs,Min_Log10_FreqCount,Max_Log10_FreqCount,Mean_Log10_FreqCount,Min_Syll_Zipf,Bigrams,Bigram Occurrence Counts,Zipf
beschermde,3.0,"(5.7420971887829415, 3.305566313515304, 6.234172950952972)","(6.969028573317883, 4.532497698050245, 7.461104335487914)",3.305566313515304,6.234172950952972,5.093945484417072,4.532497698050245,"['be', 'es', 'sc', 'ch', 'he', 'er', 'rm', 'md', 'de']","[2443609.0, 1784615.0, 1079447.0, 1999086.0, 822995.0, 6799370.0, 1049306.0, 10432.0, 2559661.0]",3.802660358208974
vrije,2.0,"(4.4187154968655955, 5.300412859229037)","(5.645646881400537, 6.527344243763977)",4.418715496865596,5.300412859229037,4.859564178047316,5.645646881400537,"['vr', 'ri', 'ij', 'je']","[62231.0, 1787712.0, 1639122.0, 913788.0]",4.590778203553807
dag,1.0,"(4.787658801910277,)","(6.0145901864452185,)",4.787658801910277,4.787658801910277,4.787658801910277,6.0145901864452185,"['da', 'ag']","[1096946.0, 400262.0]",5.92496987479219
morgen,2.0,"(4.554719269050214, 5.7314662752592405)","(5.781650653585155, 6.958397659794182)",4.554719269050214,5.7314662752592405,5.143092772154727,5.781650653585155,"['mo', 'or', 'rg', 'ge', 'en']","[1055897.0, 2597583.0, 709881.0, 3692145.0, 8542439.0]",5.62326054351812
krijgt,1.0,"(4.156458285240457,)","(5.383389669775397,)",4.156458285240457,4.156458285240457,4.156458285240457,5.383389669775397,"['kr', 'ri', 'ij', 'jg', 'gt']","[88851.0, 1787712.0, 1639122.0, 21485.0, 21874.0]",5.507637723728631
ober,2.0,"(5.468992384083093, 4.128883702099773)","(6.695923768618035, 5.355815086634715)",4.128883702099773,5.468992384083093,4.798938043091433,5.355815086634715,"['ob', 'be', 'er']","[95880.0, 2443609.0, 6799370.0]",3.997966847108876
beroemde,3.0,"(5.7420971887829415, 3.1142772965615864, 6.234172950952972)","(6.969028573317883, 4.341208681096528, 7.461104335487914)",3.1142772965615864,6.234172950952972,5.030182478765833,4.341208681096528,"['be', 'er', 'ro', 'oe', 'em', 'md', 'de']","[2443609.0, 6799370.0, 1417238.0, 837795.0, 924741.0, 10432.0, 2559661.0]",4.26505835610793
president,3.0,"(4.405090114038722, 4.651878631030323, 3.882410684373968)","(5.632021498573664, 5.878810015565264, 5.109342068908909)",3.882410684373968,4.651878631030323,4.3131264764810044,5.109342068908909,"['pr', 're', 'es', 'si', 'id', 'de', 'en', 'nt']","[242781.0, 1607974.0, 1784615.0, 1091620.0, 469631.0, 2559661.0, 8542439.0, 1477178.0]",5.105933575526956
beledigde,4.0,"(5.7420971887829415, 5.5573243025633445, 5.012402712931155, 6.234172950952972)","(6.969028573317883, 6.784255687098286, 6.239334097466095, 7.461104335487914)",5.012402712931155,6.234172950952972,5.636499288807604,6.239334097466095,"['be', 'el', 'le', 'ed', 'di', 'ig', 'gd', 'de']","[2443609.0, 4671207.0, 4397946.0, 636500.0, 1050254.0, 960409.0, 109191.0, 2559661.0]",3.3286301804664533
arts,1.0,"(3.437750562820388,)","(4.664681947355329,)",3.437750562820388,3.437750562820388,3.437750562820388,4.664681947355329,"['ar', 'rt', 'ts']","[1754491.0, 1154116.0, 235160.0]",4.512354227936766
vieze,2.0,"(3.7763379096201755, 5.786578947445944)","(5.003269294155117, 7.013510331980886)",3.776337909620176,5.786578947445944,4.78145842853306,5.003269294155117,"['vi', 'ie', 'ez', 'ze']","[226005.0, 2076673.0, 100963.0, 1671440.0]",4.340029640210547
